Key,en,hi,ar,es
Registration failed! Please try again,Registration failed! Please try again,पंजीकरण विफल रहा! कृपया पुन: प्रयास करें,فشل في التسجيل! حاول مرة اخرى,¡Registro fallido! Inténtalo de nuevo
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,उपयोगकर्ता जानकारी लाने में विफल. कृपया पुन: प्रयास करें,فشل في جلب معلومات المستخدم. حاول مرة اخرى,No se pudo recuperar la información del usuario. Inténtalo de nuevo
Failed to generate user token! Please try again,Failed to generate user token! Please try again,उपयोगकर्ता टोकन जनरेट करने में विफल! कृपया पुन: प्रयास करें,فشل في إنشاء الرمز المميز للمستخدم! حاول مرة اخرى,¡No se pudo generar el token de usuario! Inténtalo de nuevo
User successfully registered,User successfully registered,उपयोगकर्ता सफलतापूर्वक पंजीकृत हो गया,تم تسجيل المستخدم بنجاح,Usuario registrado exitosamente
User Profile data fetch successfully!,User Profile data fetch successfully!,उपयोगकर्ता प्रोफ़ाइल डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات ملف تعريف المستخدم بنجاح!,¡Los datos del perfil de usuario se obtuvieron correctamente!
error,error,गलती,خطأ,error
Profile data updated successfully!,Profile data updated successfully!,प्रोफ़ाइल डेटा सफलतापूर्वक अपडेट किया गया!,تم تحديث بيانات الملف الشخصي بنجاح!,¡Datos de perfil actualizados exitosamente!
Password changed successfully!,Password changed successfully!,पासवर्ड सफलतापूर्वक बदला गया!,تم تغيير الرقم السري بنجاح!,¡Contraseña cambiada con éxito!
Language Name,Language Name,भाषा का नाम,اسم اللغة,Nombre del lenguaje
Language Code,Language Code,भाषा कोड,رمز اللغة,Código de lenguaje
User Status,User Status,उपयोगकर्ता की स्थिति,حالة المستخدم,Estatus de usuario
Payment Required,Payment Required,भुगतान की आवश्यकता है,الدفع مطلوب,pago requerido
Too Many Requests,Too Many Requests,बहुत सारे अनुरोध,طلبات كثيرة جدا,Demasiadas solicitudes
Service Unavailable,Service Unavailable,सेवा अनुपलब्ध है,الخدمة غير متوفرة,Servicio No Disponible
DOWNLOAD APP,DOWNLOAD APP,ऐप डाउनलोड करें,تحميل التطبيق,DESCARGAR APLICACIÓN
NEWSLETTER,NEWSLETTER,न्यूजलैटर,النشرة الإخبارية,BOLETIN INFORMATIVO
SUBSCRIBE,SUBSCRIBE,सदस्यता लें,يشترك,SUSCRIBIR
You Have,You Have,आपके पास,لديك,Tienes
Please Enter the Code,Please Enter the Code,कृपया कोड दर्ज करें,الرجاء إدخال الرمز,Por favor ingrese el código
next,next,अगला,التالي,próximo
navigation,navigation,मार्गदर्शन,ملاحة,navegación
Showing,Showing,दिखा,عرض,Demostración
to,to,को,ل,a
of,of,का,ل,de
results,results,परिणाम,نتائج,resultados
prev,prev,पिछला,السابق,anterior
Setup Schedule Days,Setup Schedule Days,सेटअप शेड्यूल दिन,أيام جدول الإعداد,Días de programación de configuración
Admin Roles,Admin Roles,व्यवस्थापक भूमिकाएँ,أدوار المشرف,Funciones de administrador
Permission Group,Permission Group,अनुमति समूह,مجموعة الأذونات,Grupo de permisos
Server Information,Server Information,सर्वर जानकारी,معلومات الخادم,información del servidor
Default Template,Default Template,डिफ़ॉल्ट टेम्पलेट,القالب الافتراضي,Plantilla predeterminada
Email Unverified Users,Email Unverified Users,असत्यापित उपयोगकर्ताओं को ईमेल करें,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم,Enviar correo electrónico a usuarios no verificados
User Details,User Details,उपयोगकर्ता विवरण,بيانات المستخدم,Detalles de usuario
Login Logs,Login Logs,लॉगइन लॉग्स,سجلات تسجيل الدخول,Registros de inicio de sesión
User Email Logs,User Email Logs,उपयोगकर्ता ईमेल लॉग,سجلات البريد الإلكتروني للمستخدم,Registros de correo electrónico del usuario
Language data fetch successfully!,Language data fetch successfully!,भाषा डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات اللغة بنجاح!,¡Los datos de idioma se obtuvieron correctamente!
Access Denied! Unauthenticated,Access Denied! Unauthenticated,पहुंच अस्वीकृत! अपुष्ट,تم الرفض! غير مصادق عليه,¡Acceso denegado! No autenticado
Request token is invalid,Request token is invalid,अनुरोध टोकन अमान्य है,رمز الطلب غير صالح,El token de solicitud no es válido
"Invalid OTP, Please try again","Invalid OTP, Please try again","अमान्य ओटीपी, कृपया पुनः प्रयास करें",كلمة المرور لمرة واحدة (OTP) غير صالحة، يرجى المحاولة مرة أخرى,"OTP no válida, inténtelo de nuevo"
Session expired. Please try again,Session expired. Please try again,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें,انتهت الجلسة. حاول مرة اخرى,Sesión expirada. Inténtalo de nuevo
Account Successfully verified,Account Successfully verified,खाता सफलतापूर्वक सत्यापित,تم التحقق من الحساب بنجاح,Cuenta verificada exitosamente
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,आपका खाता अस्थायी रूप से बंद कर दिया गया है. कृपया सिस्टम एडमिन से संपर्क करें,حسابك مؤقت. يرجى الاتصال بمسؤول النظام,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema
Message Details,Message Details,संदेश विवरण,تفاصيل الرسالة,Detalles del mensaje
Admin | Login,Admin | Login,एडमिन | लॉग इन करें,المشرف | تسجيل الدخول,Administrador | Acceso
Enter your account email address or username,Enter your account email address or username,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta
Username OR Email Address,Username OR Email Address,उपयोगकर्ता का नाम या ईमेल पता,اسم المستخدم أو البريد الالكتروني,Nombre de usuario o dirección de correo electrónico
Send,Send,भेजना,يرسل,Enviar
Reset,Reset,रीसेट,إعادة ضبط,Reiniciar
Password,Password,पासवर्ड,كلمة المرور,Contraseña
New Password,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña
Confirm Password,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña
Login,Login,लॉग इन करें,تسجيل الدخول,Acceso
Reset Password,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer la contraseña
Welcome To,Welcome To,आपका स्वागत है,مرحبا بك في,Bienvenido a
Admin Panel,Admin Panel,व्यवस्थापक पैनल,لوحة الادارة,Panel de administrador
Email Address,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico
Forgot Password,Forgot Password,पासवर्ड भूल गए,هل نسيت كلمة السر,Has olvidado tu contraseña
No data found!,No data found!,डाटा प्राप्त नहीं हुआ!,لاتوجد بيانات!,¡Datos no encontrados!
Full Name,Full Name,पूरा नाम,الاسم الكامل,Nombre completo
Username,Username,उपयोगकर्ता नाम,اسم المستخدم,Nombre de usuario
Email,Email,ईमेल,بريد إلكتروني,Correo electrónico
Phone,Phone,फ़ोन,هاتف,Teléfono
Role,Role,भूमिका,دور,Role
Status,Status,स्थिति,حالة,Estado
Category Name,Category Name,श्रेणी नाम,اسم التصنيف,nombre de la categoría
Created Time,Created Time,निर्मित समय,وقت الإنشاء,Hora de creación
Add Language,Add Language,भाषा जोड़ें,إضافة لغة,Agregar idioma
button,button,बटन,زر,botón
Cancel,Cancel,रद्द करना,يلغي,Cancelar
Add,Add,जोड़ना,يضيف,Agregar
Edit Language,Edit Language,भाषा संपादित करें,تحرير اللغة,Editar idioma
Language File,Language File,भाषा फ़ाइल,ملف اللغة,Archivo de idioma
Add New Day,Add New Day,नया दिन जोड़ें,أضف يوم جديد,Agregar nuevo día
Day Name,Day Name,दिन का नाम,اسم اليوم,Nombre del día
Add Schedule,Add Schedule,शेड्यूल जोड़ें,إضافة الجدول الزمني,Agregar horario
Day,Day,दिन,يوم,Día
Select Day,Select Day,दिन चुनें,اختر اليوم,Seleccionar día
Event Name,Event Name,घटना नाम,اسم الحدث,Nombre del evento
Host,Host,मेज़बान,يستضيف,Anfitrión
Chat Link,Chat Link,चैट लिंक,رابط الدردشة,Enlace de chat
Radio Link,Radio Link,रेडियो लिंक,رابط الراديو,Enlace de radio
Start Time,Start Time,समय शुरू,وقت البدء,Hora de inicio
End Time,End Time,अंत समय,وقت النهاية,Hora de finalización
Edit Day,Edit Day,दिन संपादित करें,تحرير اليوم,Editar día
Add About Item,Add About Item,आइटम के बारे में जोड़ें,أضف حول العنصر,Agregar sobre el artículo
Item Title,Item Title,मद शीर्षक,عنوان البند,Título del artículo
Item Description,Item Description,आइटम विवरण,وصف السلعة,Descripción del Artículo
Item Section Icon,Item Section Icon,आइटम अनुभाग चिह्न,رمز قسم العنصر,Icono de sección de artículo
Add Announcement,Add Announcement,घोषणा जोड़ें,إضافة إعلان,Agregar anuncio
Select Category,Select Category,श्रेणी चुनना,اختر الفئة,selecciona una categoría
Select Announcement Tags,Select Announcement Tags,घोषणा टैग चुनें,حدد علامات الإعلان,Seleccionar etiquetas de anuncio
Add Banner,Add Banner,बैनर जोड़ें,إضافة لافتة,Agregar banner
Button Name,Button Name,बटन का नाम,اسم الزر,Nombre del botón
Button Link,Button Link,बटन लिंक,رابط الزر,Enlace de botón
Add Brand,Add Brand,ब्रांड जोड़ें,أضف علامة تجارية,Agregar marca
Add Gallery Item,Add Gallery Item,गैलरी आइटम जोड़ें,إضافة عنصر المعرض,Agregar elemento de galería
Add How We Do Item,Add How We Do Item,हम कैसे करते हैं आइटम जोड़ें,أضف كيف نفعل البند,Agregar artículo Cómo lo hacemos
Add Social Icon,Add Social Icon,सामाजिक चिह्न जोड़ें,إضافة أيقونة الاجتماعية,Agregar ícono social
Item Name,Item Name,आइटम नाम,اسم العنصر,Nombre del árticulo
Item Link,Item Link,आइटम लिंक,رابط السلعة,Enlace del artículo
Item Social Icon,Item Social Icon,आइटम सामाजिक चिह्न,رمز العنصر الاجتماعي,Icono social del artículo
Add Team Item,Add Team Item,टीम आइटम जोड़ें,إضافة عنصر الفريق,Agregar elemento de equipo
Item Designation,Item Designation,आइटम पदनाम,تسمية العنصر,Designación del artículo
Social Links,Social Links,सामाजिक कड़ियाँ,روابط اجتماعية,vínculos sociales
Icon,Icon,आइकन,أيقونة,Icono
Link,Link,जोड़ना,وصلة,Enlace
Add Testimonial Item,Add Testimonial Item,प्रशंसापत्र आइटम जोड़ें,إضافة عنصر الشهادة,Agregar artículo de testimonio
Item Rating,Item Rating,आइटम रेटिंग,تقييم السلعة,Calificación del artículo
Add Video Item,Add Video Item,वीडियो आइटम जोड़ें,إضافة عنصر فيديو,Agregar elemento de video
Add Page,Add Page,पृष्ठ जोड़ें,إضافة صفحة,Añadir página
Edit Page,Edit Page,संपादित पेज,تعديل الصفحة,Editar página
Add Admin,Add Admin,व्यवस्थापक जोड़ें,إضافة المشرف,Agregar administrador
Admin Profile Image,Admin Profile Image,व्यवस्थापक प्रोफ़ाइल छवि,صورة الملف الشخصي للمشرف,Imagen de perfil de administrador
First Name,First Name,पहला नाम,الاسم الأول,Nombre de pila
Last Name,Last Name,उपनाम,اسم العائلة,Apellido
Add New Category,Add New Category,नई श्रेणी जोड़ें,إضافة فئة جديدة,Añadir nueva categoria
Add New Screen,Add New Screen,नई स्क्रीन जोड़ें,إضافة شاشة جديدة,Agregar nueva pantalla
Add New Permission,Add New Permission,नई अनुमति जोड़ें,إضافة إذن جديد,Agregar nuevo permiso
Permission Name,Permission Name,अनुमति का नाम,اسم الإذن,Nombre del permiso
Assign Permission Page/Task,Assign Permission Page/Task,अनुमति पृष्ठ/कार्य निर्दिष्ट करें,تعيين صفحة/مهمة إذن,Asignar página/tarea de permiso
Edit Permission,Edit Permission,अनुमति संपादित करें,تحرير إذن,Editar permiso
Add New Role,Add New Role,नई भूमिका जोड़ें,إضافة دور جديد,Agregar nuevo rol
Role Name,Role Name,भूमिका का नाम,اسم الدور,Nombre de rol
Edit Role,Edit Role,भूमिका संपादित करें,تحرير الدور,Editar rol
Edit Admin,Edit Admin,व्यवस्थापक संपादित करें,تحرير المشرف,Editar administrador
Edit Category,Edit Category,श्रेणी संपादित करें,تحرير الفئة,Editar categoria
Edit Screen,Edit Screen,स्क्रीन संपादित करें,تحرير الشاشة,Editar pantalla
Update Extension,Update Extension,एक्सटेंशन अपडेट करें,تحديث التمديد,Actualizar extensión
Send Email,Send Email,ईमेल भेजें,ارسل بريد الكتروني,Enviar correo electrónico
Close,Close,बंद करना,يغلق,Cerca
Send Test Mail,Send Test Mail,परीक्षण मेल भेजें,إرسال بريد الاختبار,Enviar correo de prueba
"This ticket is solved, you can","This ticket is solved, you can","यह टिकट हल हो गया है, आप कर सकते हैं",تم حل هذه التذكرة، يمكنك,"Este ticket está solucionado, puedes"
Pending Tickets,Pending Tickets,लंबित टिकट,التذاكر المعلقة,Entradas pendientes
View All,View All,सभी को देखें,عرض الكل,Ver todo
Active Tickets,Active Tickets,सक्रिय टिकट,التذاكر النشطة,Entradas activas
Solved Tickets,Solved Tickets,हल टिकट,تذاكر محلولة,Entradas resueltas
All Tickets,All Tickets,सभी टिकट,جميع التذاكر,Todas las entradas
Action,Action,कार्रवाई,فعل,Acción
Mark as Solved,Mark as Solved,हल हो गया के रूप में चिह्नित करें,"وضع علامة ""محلول"".",Marcar como resuelto
Support Details,Support Details,समर्थन विवरण,تفاصيل الدعم,Detalles de soporte
Attachments,Attachments,संलग्नक,المرفقات,Archivos adjuntos
Admin,Admin,व्यवस्थापक,مسؤل,Administración
Developed by,Developed by,द्वारा विकसित,طورت بواسطة,Desarrollado por
Layout Mode,Layout Mode,लेआउट मोड,وضع التخطيط,Modo de diseño
Dark Mode,Dark Mode,डार्क मोड,الوضع المظلم,Modo oscuro
Topbar Color,Topbar Color,टॉपबार रंग,لون الشريط العلوي,Color de la barra superior
Light Mode,Light Mode,लाइट मोड,وضع الضوء,Modo de luz
Sidebar Color,Sidebar Color,साइडबार का रंग,لون الشريط الجانبي,Color de la barra lateral
Min Sidebar Color,Min Sidebar Color,न्यूनतम साइडबार रंग,الحد الأدنى للون الشريط الجانبي,Color mínimo de la barra lateral
Direction,Direction,दिशा,اتجاه,Dirección
RTL Support,RTL Support,आरटीएल समर्थन,دعم RTL,Soporte RTL
Reset To Default,Reset To Default,वितथ पर ले जाएं,إعادة تعيين إلى الافتراضي,Restablecen a los predeterminados
Clear All,Clear All,सभी साफ करें,امسح الكل,Limpiar todo
No new notification found!,No new notification found!,कोई नई अधिसूचना नहीं मिली!,لم يتم العثور على إشعار جديد!,¡No se encontró ninguna notificación nueva!
Admin Profile,Admin Profile,व्यवस्थापक प्रोफ़ाइल,الملف الشخصي للمسؤول,Perfil de administrador
Change Password,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña
text,text,मूलपाठ,نص,texto
Add New,Add New,नया जोड़ो,اضف جديد,Agregar nuevo
SL,SL,क्र,إس إل,SL
URI,URI,यूआरआई,URI,URI
All Admin Roles,All Admin Roles,सभी व्यवस्थापक भूमिकाएँ,جميع أدوار المشرف,Todas las funciones de administrador
Assign Admin,Assign Admin,व्यवस्थापक नियुक्त करें,تعيين المشرف,Asignar administrador
All Permissions,All Permissions,सभी अनुमतियाँ,جميع الأذونات,Todos los permisos
Details,Details,विवरण,تفاصيل,Detalles
App Version,App Version,एप्लिकेशन वेरीज़न,نسخة التطبيق,Version de aplicacion
Android App URL,Android App URL,एंड्रॉइड ऐप यूआरएल,عنوان URL لتطبيق Android,URL de la aplicación de Android
iOS App URL,iOS App URL,आईओएस ऐप यूआरएल,عنوان URL لتطبيق iOS,URL de la aplicación iOS
Messages,Messages,संदेशों,رسائل,Mensajes
Reply,Reply,जवाब,رد,Responder
Not Replied,Not Replied,उत्तर नहीं दिया गया,لم يتم الرد,No respondido
Replied,Replied,उत्तर दिया,أجاب,Respondió
Reply Message,Reply Message,प्रतिक्रिया संदेश,رسالة الرد,Mensaje de respuesta
Sent,Sent,भेजा,مرسل,Enviado
Policy Link,Policy Link*,नीति लिंक*,رابط السياسة*,Enlace de política*
Total Users,Total Users,कुल उपयोगकर्ता,إجمالي المستخدمين,Usuarios totales
Total,Total,कुल,المجموع,Total
Verified Users,Verified Users,सत्यापित उपयोगकर्ता,المستخدمون الذين تم التحقق منهم,Usuarios verificados
Total Schedules,Total Schedules,कुल अनुसूचियाँ,إجمالي الجداول,Horarios totales
Active Schedules,Active Schedules,सक्रिय अनुसूचियाँ,الجداول الزمنية النشطة,Horarios activos
Banned Schedules,Banned Schedules,प्रतिबंधित अनुसूचियां,المواعيد المحظورة,Horarios prohibidos
Total Videos,Total Videos,कुल वीडियो,إجمالي مقاطع الفيديو,Vídeos totales
Total Announcements,Total Announcements,कुल घोषणाएँ,إجمالي الإعلانات,Anuncios totales
Active Announcements,Active Announcements,सक्रिय घोषणाएँ,الإعلانات النشطة,Anuncios activos
Banned Announcements,Banned Announcements,प्रतिबंधित घोषणाएँ,اعلانات محظورة,Anuncios prohibidos
Total Subscribers,Total Subscribers,कुल सदस्य,إجمالي المشتركين,Suscriptores totales
This Month,This Month,इस महीने,هذا الشهر,Este mes
This Year,This Year,इस साल,هذا العام,Este año
Total Messages,Total Messages,कुल संदेश,إجمالي الرسائل,Mensajes totales
Replied Messages,Replied Messages,उत्तर दिए गए संदेश,تم الرد على الرسائل,Mensajes respondidos
Unanswered Messages,Unanswered Messages,अनुत्तरित संदेश,رسائل لم يتم الرد عليها,Mensajes sin respuesta
Total Teams,Total Teams,कुल टीमें,مجموع الفرق,Equipos totales
Extensions,Extensions,एक्सटेंशन,ملحقات,Extensiones
Instructions,Instructions,निर्देश,تعليمات,Instrucciones
Import,Import,आयात,يستورد,Importar
Download,Download,डाउनलोड करना,تحميل,Descargar
Code,Code,कोड,شفرة,Código
Language Keywords of English,Language Keywords of English,अंग्रेजी के भाषाई कीवर्ड,الكلمات الرئيسية للغة الإنجليزية,Palabras clave del idioma inglés
Password Change,Password Change,पासवर्ड परिवर्तन,تغيير كلمة السر,Cambio de contraseña
Save & Change,Save & Change,परिवर्तन को संग्रहित करें,حفظ وتغيير,Guardar cambios
Country,Country,देश,دولة,País
State,State,राज्य,ولاية,Estado
City,City,शहर,مدينة,Ciudad
Browser Push Notification Configuration,Browser Push Notification Configuration,ब्राउज़र पुश अधिसूचना कॉन्फ़िगरेशन,تكوين إشعارات المتصفح,Configuración de notificaciones push del navegador
Method,Method,तरीका,طريقة,Método
Instance ID,Instance ID,उदाहरण आईडी,معرف المثيل,ID de instancia
Primary key,Primary key,प्राथमिक कुंजी,المفتاح الأساسي,Clave primaria
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,प्रसारण/आंतरिक अधिसूचना विन्यास,البث/تكوين الإخطار الداخلي,Configuración de transmisión/notificación interna
APP ID,APP ID,एपीपी आईडी,معرف التطبيق,ID DE APLICACIÓN
Secret key,Secret key,गुप्त कुंजी,المفتاح السري,Llave secreta
Cluster,Cluster,झुंड,تَجَمَّع,Grupo
Notification Body,Notification Body,अधिसूचना निकाय,هيئة الإخطار,Organismo de notificación
Latest Notifications,Latest Notifications,नवीनतम सूचनाएं,أحدث الإخطارات,Últimas notificaciones
Body,Body,शरीर,جسم,Cuerpo
Setup Daily Schedules,Setup Daily Schedules,दैनिक कार्यक्रम सेटअप करें,إعداد الجداول اليومية,Configurar horarios diarios
Section Title,Section Title,अनुभाग शीर्षक,عنوان القسم,Sección de título
Section Icon,Section Icon,अनुभाग चिह्न,أيقونة القسم,Icono de sección
Live,Live,रहना,يعيش,Vivir
Add Days,Add Days,दिन जोड़ें,إضافة أيام,Agregar días
Version,Version,संस्करण,إصدار,Versión
App Name,App Name,एप्लिकेशन का नाम,اسم التطبيق,Nombre de la aplicación
App Environment,App Environment,ऐप पर्यावरण,بيئة التطبيق,Entorno de aplicación
App Debug,App Debug,ऐप डीबग,تصحيح أخطاء التطبيق,Depuración de aplicaciones
App Mode,App Mode,ऐप मोड,وضع التطبيق,Modo de aplicación
Database Connection,Database Connection,डेटाबेस कनेक्शन,اتصال قاعدة البيانات,Conexión de base de datos
